#commodity_name	kg	m3	LDM	LU	m2	AU	price
Article_179	0.3495454545	0.0032727273	0.0004545455	0.0045454545	0.0043636364	1	1143
Article_180	0.0946666667	0.000548856	0.0002777778	0.0083333333	0.0019602	1	0.44
Article_181	1.0626666667	0.0209025333	0.0035978836	0.0666666667	0.0550066667	1	21.72
Article_182	0.0271571429	0.0005357143	7.19577E-05	0.0357142857	0.0026785714	1	130.8766666667
Article_183	0.00666	3.6E-05	3.33333E-05	0.001	0.00024	1	0.36
Article_184	0.3495454545	0.0032727273	0.0004545455	0.0045454545	0.0043636364	1	1143
Article_185	0.0946666667	0.000548856	0.0002777778	0.0083333333	0.0019602	1	0.44
Article_186	1.0626666667	0.0209025333	0.0035978836	0.0666666667	0.0550066667	1	21.72
Article_187	0.0271571429	0.0005357143	7.19577E-05	0.0357142857	0.0026785714	1	130.8766666667
Article_188	0.00514	7.502E-06	9.2896E-06	0.001	6.82E-05	1	0.29
Article_189	3.9805555556	0.0139491389	0.0019675926	0.0138888889	0.0143805556	1	44
Article_190	16.575	0.145903125	0.0217948718	0.125	0.145903125	1	92.87
Article_191	0.3495454545	0.0032727273	0.0004545455	0.0045454545	0.0043636364	1	1520
Article_192	5.2865555556	0.0533333333	0.0078703704	0.0277777778	0.0533333333	1	3.37
Article_193	1.0626666667	0.0209025333	0.0035978836	0.0666666667	0.0550066667	1	21.72
Article_194	3.9805555556	0.0139491389	0.0019675926	0.0138888889	0.0143805556	1	44
Article_195	0.011284127	5.95238E-05	7.9953E-06	0.003968254	0.000297619	1	160.54
Article_196	0.3495454545	0.0032727273	0.0004545455	0.0045454545	0.0043636364	1	1143
Article_197	0.619	0.004351644	0.0010416667	0.125	0.029403	1	1555.11
Article_198	0.00666	3.6E-05	3.33333E-05	0.001	0.00024	1	0.36
Article_199	0.011284127	5.95238E-05	7.9953E-06	0.003968254	0.000297619	1	134.6866666667
Article_200	0.6772222222	0.0132666667	0.0018518519	0.0138888889	0.0133333333	1	1.02
Article_201	0.3495454545	0.0032727273	0.0004545455	0.0045454545	0.0043636364	1	1143
Article_202	0.057275	0.001029105	0.0002604167	0.015625	0.003675375	1	210
Article_203	3.9805555556	0.0139491389	0.0019675926	0.0138888889	0.0143805556	1	44
Article_204	0.0275	0.0001764	0.0001	0.01	0.0012	1	0.12
Article_205	0.621	0.004351644	0.0010416667	0.125	0.029403	1	1555.11
Article_206	0.0032	7.8E-06	5E-06	0.001	6E-05	1	0.03
Article_207	0.00115	2.56E-05	6.6667E-06	6.66667E-05	6.4E-05	1	0.22
Article_208	0.3495454545	0.0032727273	0.0004545455	0.0045454545	0.0043636364	1	1199
Article_209	0.057275	0.001029105	0.0002604167	0.015625	0.003675375	1	210
Article_210	0.111	0.000823284	0.0004166667	0.0125	0.0029403	1	0.34
Article_211	0.00545	0.0001392	6.66667E-05	0.0025	0.00048	1	0.09
Article_212	0.057275	0.001029105	0.0002604167	0.015625	0.003675375	1	210
Article_213	0.746	0.004351644	0.0010416667	0.125	0.029403	1	1397.24
Article_214	0.3495454545	0.0032727273	0.0004545455	0.0045454545	0.0043636364	1	902
Article_215	3.9805555556	0.0139491389	0.0019675926	0.0138888889	0.0143805556	1	51.8
Article_216	0.111	0.000823284	0.0004166667	0.0125	0.0029403	1	0.31
Article_217	0.6772222222	0.0132666667	0.0018518519	0.0138888889	0.0133333333	1	1.02
Article_218	16.575	0.145903125	0.0217948718	0.125	0.145903125	1	92.87
Article_219	0.111	0.000823284	0.0004166667	0.0125	0.0029403	1	0.31
Article_220	0.74	0.004351644	0.0010416667	0.125	0.029403	1	1370.24
Article_221	0.2076	0.00137214	0.0003472222	0.0208333333	0.0049005	1	414
Article_222	0.00545	0.0001392	6.66667E-05	0.0025	0.00048	1	0.09
Article_223	0.3495454545	0.0032727273	0.0004545455	0.0045454545	0.0043636364	1	902
Article_224	3.9805555556	0.0139491389	0.0019675926	0.0138888889	0.0143805556	1	44
Article_225	0.111	0.000823284	0.0004166667	0.0125	0.0029403	1	0.31
Article_226	0.22	0.00192	0.0002666667	0.02	0.0096	1	7.21
Article_227	1.2015833333	0.014625	0.0020987654	0.0083333333	0.015	1	31.76
Article_228	9.4705555556	0.0533333333	0.0078703704	0.0277777778	0.0533333333	1	623.8866666667
Article_229	0.5190909091	0.0065454545	0.0009090909	0.0090909091	0.0087272727	1	847
Article_230	2.2038095238	0.0239128095	0.0033730159	0.0238095238	0.024652381	1	58.94
Article_231	0.0271571429	0.0005357143	7.19577E-05	0.0357142857	0.0026785714	1	130.8766666667
Article_232	3.9805555556	0.0139491389	0.0019675926	0.0138888889	0.0143805556	1	51.8
Article_233	0.111	0.000823284	0.0004166667	0.0125	0.0029403	1	0.25
Article_234	3.9805555556	0.0139491389	0.0019675926	0.0138888889	0.0143805556	1	51.8
Article_235	1.2015833333	0.014625	0.0020987654	0.0083333333	0.015	1	31.88
Article_236	9.9275555556	0.0533333333	0.0078703704	0.0277777778	0.0533333333	1	1115.6233333333
Article_237	0.5190909091	0.0065454545	0.0009090909	0.0090909091	0.0087272727	1	847
Article_238	0.0271571429	0.0005357143	7.19577E-05	0.0357142857	0.0026785714	1	130.8766666667
Article_239	0.541969697	0.0038043106	0.0005366162	0.0037878788	0.0039219697	1	0.95
Article_240	0.26	0.00192	0.0002666667	0.02	0.0096	1	6.01
Article_241	0.541969697	0.0038043106	0.0005366162	0.0037878788	0.0039219697	1	0.95
Article_242	3.9805555556	0.0139491389	0.0019675926	0.0138888889	0.0143805556	1	46.69
Article_243	0.6772222222	0.0132666667	0.0018518519	0.0138888889	0.0133333333	1	1.02
Article_244	0.111	0.000823284	0.0004166667	0.0125	0.0029403	1	0.25
Article_245	1.2015833333	0.014625	0.0020987654	0.0083333333	0.015	1	31.76
Article_246	0.011284127	5.95238E-05	7.9953E-06	0.003968254	0.000297619	1	160.54
Article_247	0.6166666667	0.0096	0.0013333333	0.0133333333	0.0128	1	1127
Article_248	0.0009285714	8.571E-07	1.19E-07	0.0001428571	5.7143E-06	1	0.4833333333
Article_249	3.9805555556	0.0139491389	0.0019675926	0.0138888889	0.0143805556	1	51.8
Article_250	0.6347619048	0.0047825619	0.0006746032	0.0047619048	0.0049304762	1	1.24
Article_251	0.111	0.000823284	0.0004166667	0.0125	0.0029403	1	0.25
Article_252	1.2015833333	0.014625	0.0020987654	0.0083333333	0.015	1	31.76
Article_253	0.011284127	5.95238E-05	7.9953E-06	0.003968254	0.000297619	1	130.8766666667
Article_254	0.111	0.000823284	0.0004166667	0.0125	0.0029403	1	0.25
Article_255	0.5190909091	0.0065454545	0.0009090909	0.0090909091	0.0087272727	1	847
Article_256	0.22	0.00192	0.0002666667	0.02	0.0096	1	5.94
Article_257	0.6772222222	0.0132666667	0.0018518519	0.0138888889	0.0133333333	1	1.02
Article_258	3.9805555556	0.0139491389	0.0019675926	0.0138888889	0.0143805556	1	46.69
Article_259	1.2015833333	0.014625	0.0020987654	0.0083333333	0.015	1	31.88
Article_260	0.1209722222	0.0009333333	0.000154321	0.0138888889	0.0033333333	1	0.34
Article_261	0.6347619048	0.0047825619	0.0006746032	0.0047619048	0.0049304762	1	1.24
Article_262	0.5190909091	0.0065454545	0.0009090909	0.0090909091	0.0087272727	1	847
Article_263	3.9805555556	0.0139491389	0.0019675926	0.0138888889	0.0143805556	1	46.69
Article_264	0.111	0.000823284	0.0004166667	0.0125	0.0029403	1	0.25
Article_265	0.011284127	5.95238E-05	7.9953E-06	0.003968254	0.000297619	1	130.8766666667
Article_266	1.2015833333	0.014625	0.0020987654	0.0083333333	0.015	1	31.76
Article_267	0.1209722222	0.0009333333	0.000154321	0.0138888889	0.0033333333	1	0.34
Article_268	9.6655555556	0.0533333333	0.0078703704	0.0277777778	0.0533333333	1	1183.42
Article_269	0.6406666667	0.013629	0.0041975309	0.0833333333	0.048675	1	1.45
Article_270	0.5190909091	0.0065454545	0.0009090909	0.0090909091	0.0087272727	1	847
Article_271	10.8555555556	0.0533333333	0.0078703704	0.0277777778	0.0533333333	1	1635.8133333333
Article_272	3.9805555556	0.0139491389	0.0019675926	0.0138888889	0.0143805556	1	38.3
Article_273	0.0271571429	0.0005357143	7.19577E-05	0.0357142857	0.0026785714	1	130.8766666667
Article_274	0.5190909091	0.0065454545	0.0009090909	0.0090909091	0.0087272727	1	847
Article_275	5.3381481481	0.0371977037	0.0052469136	0.037037037	0.0383481481	1	7.21
Article_276	9.4705555556	0.0533333333	0.0078703704	0.0277777778	0.0533333333	1	623.8866666667
Article_277	3.9805555556	0.0139491389	0.0019675926	0.0138888889	0.0143805556	1	46.69
Article_278	0.3495454545	0.0032727273	0.0004545455	0.0045454545	0.0043636364	1	1520
Article_279	0.0514375	0.0004078375	6.8438E-05	0.00625	0.0014565625	1	0.29
Article_280	0.5150909091	0.0065454545	0.0009090909	0.0090909091	0.0087272727	1	3180
Article_281	0.1355714286	0.0004285714	9.92063E-05	0.0238095238	0.0028571429	1	376.83
Article_282	3.9805555556	0.0139491389	0.0019675926	0.0138888889	0.0143805556	1	38.3
Article_283	0.8811111111	0.00182952	0.000462963	0.0277777778	0.006534	1	0.34
Article_284	0.368	0.003293136	0.0016666667	0.05	0.0117612	1	0.6
Article_285	0.08545	0.00165	0.000625	0.0125	0.003	1	33.3333333333
Article_286	0.6126666667	0.0096	0.0013333333	0.0133333333	0.0128	1	3180
Article_287	0.8285714286	0.0004285714	9.92063E-05	0.0238095238	0.0028571429	1	376.83
Article_288	0.275	0.0026345088	0.0013333333	0.04	0.00940896	1	0.55
Article_289	0.2791891892	0.000940896	0.0001351351	0.027027027	0.0063574054	1	769.5333333333
Article_290	0.5150909091	0.0065454545	0.0009090909	0.0090909091	0.0087272727	1	3180
Article_291	0.368	0.003293136	0.0016666667	0.05	0.0117612	1	0.6
Article_292	0.08565	0.00165	0.000625	0.0125	0.003	1	33.3333333333
Article_293	10.7866666667	0.0533333333	0.0074074074	0.0555555556	0.0533333333	1	2704
Article_294	0.323	0.001	0.0001388889	0.0333333333	0.004	1	95.4066666667
Article_295	0.368	0.003293136	0.0016666667	0.05	0.0117612	1	0.6
Article_296	0.5150909091	0.0065454545	0.0009090909	0.0090909091	0.0087272727	1	3180
Article_297	0.83	0.0064	0.0008888889	0.1	0.02	1	24.07
Article_298	0.0249	0.000528	0.0002	0.004	0.00096	1	33.3333333333
Article_299	0.8811111111	0.00182952	0.000462963	0.0277777778	0.006534	1	0.34
Article_300	0.321	0.001	0.0001388889	0.0333333333	0.004	1	95.4066666667
Article_301	6.3133333333	0.137004	0.0251851852	0.0166666667	0.0588	1	429
Article_302	0.368	0.003293136	0.0016666667	0.05	0.0117612	1	0.6
Article_303	0.368	0.003293136	0.0016666667	0.05	0.0117612	1	0.6
Article_304	0.8811111111	0.00182952	0.000462963	0.0277777778	0.006534	1	0.34
Article_305	0.6166666667	0.0096	0.0013333333	0.0133333333	0.0128	1	1127
Article_306	0.5963636364	0.0045651727	0.0006439394	0.0045454545	0.0047063636	1	1.47
Article_307	6.4056666667	0.0533333333	0.0074074074	0.0555555556	0.0533333333	1	1744
Article_308	13.6284615385	0.0772567692	0.0108974359	0.0769230769	0.0796461538	1	20.88
Article_309	0.368	0.003293136	0.0016666667	0.05	0.0117612	1	0.6
Article_310	0.5150909091	0.0065454545	0.0009090909	0.0090909091	0.0087272727	1	3180
Article_311	0.011284127	5.95238E-05	7.9953E-06	0.003968254	0.000297619	1	130.8766666667
Article_312	10.9346666667	0.0533333333	0.0074074074	0.0555555556	0.0533333333	1	2612
Article_313	0.0583333333	0.0004253333	0.000205314	0.0083333333	0.0019333333	1	1.98
Article_314	0.069	0.00036	0.0003333333	0.02	0.0024	1	0.14
Article_315	1.5415833333	0.014625	0.0020987654	0.0083333333	0.015	1	1
Article_316	0.5190909091	0.0065454545	0.0009090909	0.0090909091	0.0087272727	1	847
Article_317	0.0054	3.306E-06	2.2442E-06	0.0004	2.204E-05	1	0.02
Article_318	0.00762	5.4E-06	3.0222E-06	0.0004	3.6E-05	1	1.1066666667
Article_319	0.12	0.00192	0.0002666667	0.02	0.0096	1	1.86
Article_320	0.6333333333	0.003168	0.0020094563	0.1666666667	0.0144	1	18.61
Article_321	0.368	0.003293136	0.0016666667	0.05	0.0117612	1	0.6
Article_322	1.5415833333	0.014625	0.0020987654	0.0083333333	0.015	1	1
Article_323	0.5190909091	0.0065454545	0.0009090909	0.0090909091	0.0087272727	1	847
Article_324	0.0271571429	0.0005357143	7.19577E-05	0.0357142857	0.0026785714	1	130.8766666667
Article_325	0.00815	6.75E-06	3.7778E-06	0.0005	4.5E-05	1	1.0666666667
Article_326	0.26	0.00192	0.0002666667	0.02	0.0096	1	7.09
Article_327	0.368	0.003293136	0.0016666667	0.05	0.0117612	1	0.6
Article_328	0.2685714286	0.0013714286	0.0002380952	0.0142857143	0.0068571429	1	0.83
Article_329	0.6333333333	0.003168	0.0020094563	0.1666666667	0.0144	1	18.61
Article_330	6.3522222222	0.0557965556	0.0078703704	0.0555555556	0.0575222222	1	1
Article_331	0.00286	2.63451E-05	1.33333E-05	0.0004	9.40896E-05	1	0.05
Article_332	0.000164	9.98E-08	5.38E-07	0.0001	1.33E-06	1	0.0004
