#location_org,location_dest,commodity_name,demand,Org_Country,Des_country,weight,vol,Weight per package,Volume per package,Split amount,Dock,Search Result,Start pos,End Pos,Length,Text,Count _,Pos last _,Sustitute last _
Supplier_42,Plant_1,Article_3672,1680,FR_N,FR_N,7111.999999944,105.84,2370.666666648,35.28,3,3,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N_100,32,36,44,FR_N_100,6,41,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N!100
Supplier_42,Plant_1,Article_8469,4524,FR_N,FR_N,19418.3999999652,230.2020000696,3883.67999999304,46.04040001392,5,1,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N_100,32,36,44,FR_N_100,6,41,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N!100
Supplier_42,Plant_1,Article_8463,4524,FR_N,FR_N,19418.3999999652,230.2020000696,3883.67999999304,46.04040001392,5,4,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N_100,32,36,44,FR_N_100,6,41,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N!100
Supplier_42,Plant_1,Article_8185,40,FR_N,FR_N,204,2.646,204,2.646,1,4,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N_100,32,36,44,FR_N_100,6,41,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N!100
Supplier_42,Plant_1,Article_8174,40,FR_N,FR_N,204,2.646,204,2.646,1,2,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N_100,32,36,44,FR_N_100,6,41,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N!100
Supplier_26,Plant_9,Article_9679,780,FR_N,FR_N,58.88000001,0.479999988,58.88000001,0.479999988,1,5,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_10128,360,FR_N,FR_N,55.919999988,0.767999988,55.919999988,0.767999988,1,3,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_10123,360,FR_N,FR_N,20.620000008,0.240000012,20.620000008,0.240000012,1,5,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_10117,360,FR_N,FR_N,20.620000008,0.240000012,20.620000008,0.240000012,1,5,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_10139,336,FR_N,FR_N,485.9999999904,6.6239999952,485.9999999904,6.6239999952,1,5,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_10006,280,FR_N,FR_N,79.66,1.344,79.66,1.344,1,5,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_10057,272,FR_N,FR_N,118.8159999968,1.5359999936,118.8159999968,1.5359999936,1,5,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_10069,240,FR_N,FR_N,23.82,0.144,23.82,0.144,1,1,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_6326,2000,FR_N,FR_N,129,0.96,129,0.96,1,2,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_6328,1000,FR_N,FR_N,64.5,0.48,64.5,0.48,1,3,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_6333,1400,FR_N,FR_N,170.48000004,0.96000002,170.48000004,0.96000002,1,4,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_6216,175,FR_N,FR_N,22.850000005,0.1200000025,22.850000005,0.1200000025,1,1,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_6230,288,FR_N,FR_N,222.1151999904,3.456,222.1151999904,3.456,1,3,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_6242,288,FR_N,FR_N,221.5679999904,3.456,221.5679999904,3.456,1,3,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_6236,1120,FR_N,FR_N,858.853333296,13.44,858.853333296,13.44,1,2,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_6249,180,FR_N,FR_N,137.129999994,2.16,137.129999994,2.16,1,5,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_6439,144,FR_N,FR_N,112.4399999952,1.728,112.4399999952,1.728,1,1,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_6444,288,FR_N,FR_N,210.1919999904,3.456,210.1919999904,3.456,1,1,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_6408,600,FR_N,FR_N,4.57000002,0.024,4.57000002,0.024,1,3,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_6556,1540,FR_N,FR_N,22.177999998,0.120000034,22.177999998,0.120000034,1,4,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_6560,2000,FR_N,FR_N,12.14,0.048,12.14,0.048,1,2,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_6514,840,FR_N,FR_N,31.759999992,0.480000024,31.759999992,0.480000024,1,4,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_6543,6000,FR_N,FR_N,160.7800002,0.96,160.7800002,0.96,1,3,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_6647,260,FR_N,FR_N,130.91,1.248,130.91,1.248,1,4,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_6995,864,FR_N,FR_N,14.440000032,0.0959999904,14.440000032,0.0959999904,1,3,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_7547,1092,FR_N,FR_N,65.555999964,0.1439999652,65.555999964,0.1439999652,1,5,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_7541,1092,FR_N,FR_N,60.095999964,0.1439999652,60.095999964,0.1439999652,1,3,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_26,Plant_9,Article_7530,2000,FR_N,FR_N,12.74,0.048,12.74,0.048,1,2,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_26||Plant_9||FTL_FR_N-FR_N!1000
Supplier_33,Plant_9,Article_9776,192,FR_N,FR_N,165.6,0.54912,165.6,0.54912,1,2,FTL||Supplier_33||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_33||Plant_9||FTL_FR_N-FR_N!250
Supplier_33,Plant_9,Article_9742,2560,FR_N,FR_N,2174.72,3.84,2174.72,3.84,1,3,FTL||Supplier_33||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_33||Plant_9||FTL_FR_N-FR_N!250
Supplier_33,Plant_9,Article_9745,224,FR_N,FR_N,190.288,0.336,190.288,0.336,1,2,FTL||Supplier_33||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_33||Plant_9||FTL_FR_N-FR_N!250
Supplier_33,Plant_9,Article_10136,1120,FR_N,FR_N,909.44,1.919999984,909.44,1.919999984,1,4,FTL||Supplier_33||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_33||Plant_9||FTL_FR_N-FR_N!250
Supplier_33,Plant_9,Article_10133,810,FR_N,FR_N,112.819999986,0.240000003,112.819999986,0.240000003,1,5,FTL||Supplier_33||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_33||Plant_9||FTL_FR_N-FR_N!250
Supplier_33,Plant_9,Article_10083,192,FR_N,FR_N,165.6,0.54912,165.6,0.54912,1,1,FTL||Supplier_33||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_33||Plant_9||FTL_FR_N-FR_N!250
Supplier_33,Plant_9,Article_10087,2560,FR_N,FR_N,2174.72,3.84,2174.72,3.84,1,1,FTL||Supplier_33||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_33||Plant_9||FTL_FR_N-FR_N!250
Supplier_33,Plant_9,Article_6586,900,FR_N,FR_N,390.30000003,0.72,390.30000003,0.72,1,3,FTL||Supplier_33||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_33||Plant_9||FTL_FR_N-FR_N!250
Supplier_33,Plant_9,Article_7068,224,FR_N,FR_N,190.288,0.336,190.288,0.336,1,1,FTL||Supplier_33||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_33||Plant_9||FTL_FR_N-FR_N!250
Supplier_44,Plant_9,Article_9813,238,FR_N,FR_N,261.1199999898,2.4480000034,261.1199999898,2.4480000034,1,1,FTL||Supplier_44||Plant_9||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_44||Plant_9||FTL_FR_N-FR_N!500
Supplier_44,Plant_9,Article_9820,480,FR_N,FR_N,232.479999984,1.44,232.479999984,1.44,1,1,FTL||Supplier_44||Plant_9||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_44||Plant_9||FTL_FR_N-FR_N!500
Supplier_45,Plant_9,Article_10097,1800,FR_N,FR_N,114.48,1.728,114.48,1.728,1,3,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N!500
Supplier_45,Plant_9,Article_9982,100,FR_N,FR_N,6.36,0.096,6.36,0.096,1,5,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N!500
Supplier_45,Plant_9,Article_9993,100,FR_N,FR_N,6.36,0.096,6.36,0.096,1,1,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N!500
Supplier_45,Plant_9,Article_6246,360,FR_N,FR_N,22.896,0.3456,22.896,0.3456,1,3,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N!500
Supplier_45,Plant_9,Article_6589,1300,FR_N,FR_N,82.68,1.248,82.68,1.248,1,2,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N!500
Supplier_45,Plant_9,Article_6594,360,FR_N,FR_N,22.896,0.3456,22.896,0.3456,1,4,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N!500
Supplier_45,Plant_9,Article_6598,210,FR_N,FR_N,13.356,0.2016,13.356,0.2016,1,5,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N!500
Supplier_45,Plant_9,Article_6603,50,FR_N,FR_N,5.68,0.048,5.68,0.048,1,2,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N!500
Supplier_45,Plant_9,Article_6508,50,FR_N,FR_N,5.68,0.048,5.68,0.048,1,3,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N!500
Supplier_45,Plant_9,Article_6503,200,FR_N,FR_N,22.72,0.192,22.72,0.192,1,1,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N!500
Supplier_45,Plant_9,Article_6516,100,FR_N,FR_N,11.36,0.096,11.36,0.096,1,2,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N!500
Supplier_45,Plant_9,Article_7072,500,FR_N,FR_N,31.8,0.48,31.8,0.48,1,3,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N!500
Supplier_45,Plant_9,Article_7905,210,FR_N,FR_N,13.356,0.2016,13.356,0.2016,1,4,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_45||Plant_9||FTL_FR_N-FR_N!500
Supplier_49,Plant_9,Article_7107,3750,FR_N,FR_N,5.937499875,0.024,5.937499875,0.024,1,5,FTL||Supplier_49||Plant_9||FTL_FR_N-FR_N_1000,32,36,45,FR_N_1000,6,41,FTL||Supplier_49||Plant_9||FTL_FR_N-FR_N!1000
Supplier_42,Plant_9,Article_9701,1056,FR_N,FR_N,7318.08,117.22128,2439.36,39.07376,3,1,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N!250
Supplier_42,Plant_9,Article_9789,1050,FR_N,FR_N,3552.15,55.94652,1776.075,27.97326,2,3,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N!250
Supplier_42,Plant_9,Article_9795,1024,FR_N,FR_N,5621.76,85.25184,2810.88,42.62592,2,5,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N!250
Supplier_42,Plant_9,Article_9762,1080,FR_N,FR_N,3137.4,47.95416,3137.4,47.95416,1,1,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N!250
Supplier_42,Plant_9,Article_9765,1872,FR_N,FR_N,6888.96,103.90068,2296.32,34.63356,3,4,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N!250
Supplier_42,Plant_9,Article_9752,406,FR_N,FR_N,1262.2399999832,18.6488399804,1262.2399999832,18.6488399804,1,2,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N!250
Supplier_42,Plant_9,Article_9757,416,FR_N,FR_N,1376.0000000032,21.3129599904,1376.0000000032,21.3129599904,1,5,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N!250
Supplier_42,Plant_9,Article_10020,160,FR_N,FR_N,652.8,10.65648,652.8,10.65648,1,2,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N!250
Supplier_42,Plant_9,Article_10028,72,FR_N,FR_N,321.3599999976,5.3282399976,321.3599999976,5.3282399976,1,5,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N!250
Supplier_42,Plant_9,Article_10026,72,FR_N,FR_N,321.3599999976,5.3282399976,321.3599999976,5.3282399976,1,4,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N!250
Supplier_42,Plant_9,Article_10052,1224,FR_N,FR_N,5499.8399999592,90.5800799592,2749.9199999796,45.2900399796,2,1,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N!250
Supplier_42,Plant_9,Article_6280,288,FR_N,FR_N,1294.0799999904,21.3129599904,1294.0799999904,21.3129599904,1,2,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N!250
Supplier_42,Plant_9,Article_6284,144,FR_N,FR_N,647.0399999952,10.6564799952,647.0399999952,10.6564799952,1,5,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N!250
Supplier_42,Plant_9,Article_6287,1584,FR_N,FR_N,6347.5200000432,95.9083199712,3173.7600000216,47.9541599856,2,2,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N_250,32,36,44,FR_N_250,6,41,FTL||Supplier_42||Plant_9||FTL_FR_N-FR_N!250
