#tariff_name;tariff_costs;up_to_kg;up_to_m3;up_to_LDM;up_to_LU;up_to_m2;up_to_AU;up_to_price;
FTL||Supplier_8||Hub_85||FTL_ES-DE_W_2000;2.213,3900000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_9||Hub_81||FTL_GB-GB_250;372,6800000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_9||Hub_82||FTL_GB-ES_1500;1.562,6200000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_9||Hub_83||FTL_GB-DE_W_1000;1.022,8800000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_9||Hub_84||FTL_GB-IT_2000;1.805,8500000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_9||Hub_85||FTL_GB-DE_W_1500;1.513,5400000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_10||Hub_81||FTL_ES-GB_1500;1.500,4700000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_10||Hub_82||FTL_ES-ES_1000;627,0400000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_10||Hub_83||FTL_ES-DE_W_1500;1.721,5000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_10||Hub_84||FTL_ES-IT_1500;1.616,4500000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_10||Hub_85||FTL_ES-DE_W_2000;1.897,4500000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_11||Hub_81||FTL_GB-GB_100;133,7400000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_11||Hub_82||FTL_GB-ES_1500;1.765,9200000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_11||Hub_83||FTL_GB-DE_W_1000;962,4400000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_11||Hub_84||FTL_GB-IT_2000;1.882,0200000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_11||Hub_85||FTL_GB-DE_W_1500;1.499,1300000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_12||Hub_81||FTL_ES-GB_1500;1.503,8900000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_12||Hub_82||FTL_ES-ES_500;608,8900000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_12||Hub_83||FTL_ES-DE_W_1500;1.693,4500000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_12||Hub_84||FTL_ES-IT_1500;1.564,2400000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_12||Hub_85||FTL_ES-DE_W_2000;1.854,9000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_13||Hub_81||FTL_GB-GB_100;101,6300000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_13||Hub_82||FTL_GB-ES_1500;1.785,2500000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_13||Hub_83||FTL_GB-DE_W_1000;950,0800000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_13||Hub_84||FTL_GB-IT_2000;1.883,8200000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_13||Hub_85||FTL_GB-DE_W_1500;1.490,7600000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_14||Hub_81||FTL_GB-GB_100;117,8400000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_14||Hub_82||FTL_GB-ES_1500;1.761,5700000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_14||Hub_83||FTL_GB-DE_W_1000;940,4300000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_14||Hub_84||FTL_GB-IT_2000;1.864,3000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_14||Hub_85||FTL_GB-DE_W_1500;1.478,0500000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_15||Hub_81||FTL_GB-GB_100;83,6000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_15||Hub_82||FTL_GB-ES_2000;1.791,6600000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_15||Hub_83||FTL_GB-DE_W_1000;939,1000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_15||Hub_84||FTL_GB-IT_2000;1.879,5700000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_15||Hub_85||FTL_GB-DE_W_1500;1.481,5600000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_16||Hub_81||FTL_GB-GB_500;448,0600000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_16||Hub_82||FTL_GB-ES_2000;2.135,4500000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_16||Hub_83||FTL_GB-DE_W_1000;1.045,0600000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_16||Hub_84||FTL_GB-IT_2000;2.112,6900000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_16||Hub_85||FTL_GB-DE_W_1500;1.610,1100000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_17||Hub_81||FTL_FR_N-GB_1000;848,1300000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_17||Hub_82||FTL_FR_N-ES_1000;1.203,8000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_17||Hub_83||FTL_FR_N-DE_W_1000;1.244,7900000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_17||Hub_84||FTL_FR_N-IT_1500;1.674,6000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_17||Hub_85||FTL_FR_N-DE_W_1500;1.643,3000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_18||Hub_81||FTL_ES-GB_1500;1.559,3200000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_18||Hub_82||FTL_ES-ES_500;539,6600000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_18||Hub_83||FTL_ES-DE_W_1500;1.712,9700000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_18||Hub_84||FTL_ES-IT_1500;1.530,8800000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_18||Hub_85||FTL_ES-DE_W_2000;1.848,8000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_19||Hub_81||FTL_ES-GB_1500;1.549,5600000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_19||Hub_82||FTL_ES-ES_500;541,5500000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_19||Hub_83||FTL_ES-DE_W_1500;1.703,3500000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_19||Hub_84||FTL_ES-IT_1500;1.526,1200000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_19||Hub_85||FTL_ES-DE_W_2000;1.840,9200000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_20||Hub_81||FTL_GB-GB_100;116,5000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_20||Hub_82||FTL_GB-ES_1500;1.765,7000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_20||Hub_83||FTL_GB-DE_W_1000;906,4000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_20||Hub_84||FTL_GB-IT_2000;1.842,7100000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_20||Hub_85||FTL_GB-DE_W_1500;1.447,1600000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_21||Hub_81||FTL_GB-GB_500;401,8200000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_21||Hub_82||FTL_GB-ES_2000;2.079,8100000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_21||Hub_83||FTL_GB-DE_W_1000;985,0500000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_21||Hub_84||FTL_GB-IT_2000;2.046,5800000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_21||Hub_85||FTL_GB-DE_W_1500;1.549,9800000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_22||Hub_81||FTL_GB-GB_250;246,5700000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_22||Hub_82||FTL_GB-ES_2000;1.929,8200000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_22||Hub_83||FTL_GB-DE_W_1000;924,9900000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_22||Hub_84||FTL_GB-IT_2000;1.938,5700000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_22||Hub_85||FTL_GB-DE_W_1500;1.484,5200000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_23||Hub_81||FTL_ES-GB_1500;1.737,8800000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_23||Hub_82||FTL_ES-ES_500;461,4100000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_23||Hub_83||FTL_ES-DE_W_2000;1.847,9100000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_23||Hub_84||FTL_ES-IT_1500;1.550,5800000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_23||Hub_85||FTL_ES-DE_W_2000;1.934,0700000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_24||Hub_81||FTL_GB-GB_100;183,0900000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_24||Hub_82||FTL_GB-ES_2000;1.842,9700000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_24||Hub_83||FTL_GB-DE_W_1000;890,4100000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_24||Hub_84||FTL_GB-IT_2000;1.871,9400000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_24||Hub_85||FTL_GB-DE_W_1500;1.443,0500000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_25||Hub_81||FTL_ES-GB_1500;1.712,8700000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_25||Hub_82||FTL_ES-ES_500;450,0000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_25||Hub_83||FTL_ES-DE_W_2000;1.819,3500000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_25||Hub_84||FTL_ES-IT_1500;1.529,9300000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_25||Hub_85||FTL_ES-DE_W_2000;1.907,6100000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_26||Hub_81||FTL_FR_N-GB_1000;1.006,2500000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_26||Hub_82||FTL_FR_N-ES_1000;1.024,9400000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_26||Hub_83||FTL_FR_N-DE_W_1000;1.269,7900000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_26||Hub_84||FTL_FR_N-IT_1500;1.552,3000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_26||Hub_85||FTL_FR_N-DE_W_1500;1.596,5300000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_27||Hub_81||FTL_ES-GB_1500;1.730,0600000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_27||Hub_82||FTL_ES-ES_500;408,1000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_27||Hub_83||FTL_ES-DE_W_1500;1.813,9300000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_27||Hub_84||FTL_ES-IT_1500;1.498,5500000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_27||Hub_85||FTL_ES-DE_W_2000;1.888,2300000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_28||Hub_81||FTL_FR_N-GB_1000;712,7300000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_28||Hub_82||FTL_FR_N-ES_1000;1.297,8000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_28||Hub_83||FTL_FR_N-DE_W_1000;1.045,7900000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_28||Hub_84||FTL_FR_N-IT_1500;1.590,7800000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_28||Hub_85||FTL_FR_N-DE_W_1500;1.480,6700000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_29||Hub_81||FTL_GB-GB_250;296,8300000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_29||Hub_82||FTL_GB-ES_1500;1.601,2200000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_29||Hub_83||FTL_GB-DE_W_1000;801,8000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_29||Hub_84||FTL_GB-IT_1500;1.672,2700000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_29||Hub_85||FTL_GB-DE_W_1500;1.317,8300000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_30||Hub_81||FTL_GB-GB_250;315,7400000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_30||Hub_82||FTL_GB-ES_1500;1.593,8600000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_30||Hub_83||FTL_GB-DE_W_1000;778,1300000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_30||Hub_84||FTL_GB-IT_1500;1.650,4300000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_30||Hub_85||FTL_GB-DE_W_1500;1.293,9400000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_31||Hub_81||FTL_FR_N-GB_1000;969,3000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_31||Hub_82||FTL_FR_N-ES_1000;1.044,4300000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_31||Hub_83||FTL_FR_N-DE_W_1000;1.057,9400000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_31||Hub_84||FTL_FR_N-IT_1500;1.363,3500000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_31||Hub_85||FTL_FR_N-DE_W_1500;1.366,9400000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_32||Hub_81||FTL_FR_N-GB_1000;771,5000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_32||Hub_82||FTL_FR_N-ES_1000;1.266,7600000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_32||Hub_83||FTL_FR_N-DE_W_1000;881,6500000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_32||Hub_84||FTL_FR_N-IT_1500;1.417,6400000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_32||Hub_85||FTL_FR_N-DE_W_1000;1.288,6700000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_33||Hub_81||FTL_FR_N-GB_1000;698,7600000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_33||Hub_82||FTL_FR_N-ES_1500;1.381,6100000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_33||Hub_83||FTL_FR_N-DE_W_1000;768,7600000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_33||Hub_84||FTL_FR_N-IT_1500;1.427,5400000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_33||Hub_85||FTL_FR_N-DE_W_1000;1.225,1000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_34||Hub_81||FTL_ES-GB_1500;1.752,3100000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_34||Hub_82||FTL_ES-ES_100;120,3000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_34||Hub_83||FTL_ES-DE_W_1500;1.673,6200000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_34||Hub_84||FTL_ES-IT_1500;1.215,2100000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_34||Hub_85||FTL_ES-DE_W_1500;1.660,6700000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_35||Hub_81||FTL_FR_N-GB_1000;811,8900000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_35||Hub_82||FTL_FR_N-ES_1000;1.264,0600000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_35||Hub_83||FTL_FR_N-DE_W_1000;810,4600000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_35||Hub_84||FTL_FR_N-IT_1500;1.341,0900000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
