#tariff_name	tariff_costs	up_to_kg	up_to_m3	up_to_LDM	up_to_LU	up_to_m2	up_to_AU	up_to_price
FTL||Supplier_5||Hub_85||FTL_Welt_Welt_2500	5165.84	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_6||Hub_81||FTL_GB-GB_250	318.6	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_6||Hub_82||FTL_GB-ES_1500	1754.39	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_6||Hub_83||FTL_GB-DE_W_1000	1123.45	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_6||Hub_84||FTL_GB-IT_2000	1986.65	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_6||Hub_85||FTL_GB-DE_W_1500	1645.04	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_7||Hub_81||FTL_ES-GB_2000	1946.5	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_7||Hub_82||FTL_ES-ES_1000	748.74	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_7||Hub_83||FTL_ES-DE_W_2000	2170.93	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_7||Hub_84||FTL_ES-IT_2000	1897.73	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_7||Hub_85||FTL_ES-DE_W_2000	2288.7	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_8||Hub_81||FTL_ES-GB_2000	1901.12	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_8||Hub_82||FTL_ES-ES_1000	678.64	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_8||Hub_83||FTL_ES-DE_W_2000	2102.5	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_8||Hub_84||FTL_ES-IT_2000	1822.85	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_8||Hub_85||FTL_ES-DE_W_2000	2213.39	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_9||Hub_81||FTL_GB-GB_250	372.68	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_9||Hub_82||FTL_GB-ES_1500	1562.62	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_9||Hub_83||FTL_GB-DE_W_1000	1022.88	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_9||Hub_84||FTL_GB-IT_2000	1805.85	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_9||Hub_85||FTL_GB-DE_W_1500	1513.54	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_10||Hub_81||FTL_ES-GB_1500	1500.47	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_10||Hub_82||FTL_ES-ES_1000	627.04	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_10||Hub_83||FTL_ES-DE_W_1500	1721.5	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_10||Hub_84||FTL_ES-IT_1500	1616.45	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_10||Hub_85||FTL_ES-DE_W_2000	1897.45	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_11||Hub_81||FTL_GB-GB_100	133.74	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_11||Hub_82||FTL_GB-ES_1500	1765.92	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_11||Hub_83||FTL_GB-DE_W_1000	962.44	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_11||Hub_84||FTL_GB-IT_2000	1882.02	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_11||Hub_85||FTL_GB-DE_W_1500	1499.13	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_12||Hub_81||FTL_ES-GB_1500	1503.89	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_12||Hub_82||FTL_ES-ES_500	608.89	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_12||Hub_83||FTL_ES-DE_W_1500	1693.45	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_12||Hub_84||FTL_ES-IT_1500	1564.24	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_12||Hub_85||FTL_ES-DE_W_2000	1854.9	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_13||Hub_81||FTL_GB-GB_100	101.63	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_13||Hub_82||FTL_GB-ES_1500	1785.25	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_13||Hub_83||FTL_GB-DE_W_1000	950.08	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_13||Hub_84||FTL_GB-IT_2000	1883.82	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_13||Hub_85||FTL_GB-DE_W_1500	1490.76	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_14||Hub_81||FTL_GB-GB_100	117.84	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_14||Hub_82||FTL_GB-ES_1500	1761.57	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_14||Hub_83||FTL_GB-DE_W_1000	940.43	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_14||Hub_84||FTL_GB-IT_2000	1864.3	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_14||Hub_85||FTL_GB-DE_W_1500	1478.05	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_15||Hub_81||FTL_GB-GB_100	83.6	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_15||Hub_82||FTL_GB-ES_2000	1791.66	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_15||Hub_83||FTL_GB-DE_W_1000	939.1	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_15||Hub_84||FTL_GB-IT_2000	1879.57	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_15||Hub_85||FTL_GB-DE_W_1500	1481.56	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_16||Hub_81||FTL_GB-GB_500	448.06	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_16||Hub_82||FTL_GB-ES_2000	2135.45	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_16||Hub_83||FTL_GB-DE_W_1000	1045.06	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_16||Hub_84||FTL_GB-IT_2000	2112.69	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_16||Hub_85||FTL_GB-DE_W_1500	1610.11	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_17||Hub_81||FTL_FR_N-GB_1000	848.13	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_17||Hub_82||FTL_FR_N-ES_1000	1203.8	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_17||Hub_83||FTL_FR_N-DE_W_1000	1244.79	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_17||Hub_84||FTL_FR_N-IT_1500	1674.6	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_17||Hub_85||FTL_FR_N-DE_W_1500	1643.3	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_18||Hub_81||FTL_ES-GB_1500	1559.32	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_18||Hub_82||FTL_ES-ES_500	539.66	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_18||Hub_83||FTL_ES-DE_W_1500	1712.97	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_18||Hub_84||FTL_ES-IT_1500	1530.88	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_18||Hub_85||FTL_ES-DE_W_2000	1848.8	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_19||Hub_81||FTL_ES-GB_1500	1549.56	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_19||Hub_82||FTL_ES-ES_500	541.55	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_19||Hub_83||FTL_ES-DE_W_1500	1703.35	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_19||Hub_84||FTL_ES-IT_1500	1526.12	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_19||Hub_85||FTL_ES-DE_W_2000	1840.92	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_20||Hub_81||FTL_GB-GB_100	116.5	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_20||Hub_82||FTL_GB-ES_1500	1765.7	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_20||Hub_83||FTL_GB-DE_W_1000	906.4	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_20||Hub_84||FTL_GB-IT_2000	1842.71	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_20||Hub_85||FTL_GB-DE_W_1500	1447.16	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_21||Hub_81||FTL_GB-GB_500	401.82	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_21||Hub_82||FTL_GB-ES_2000	2079.81	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_21||Hub_83||FTL_GB-DE_W_1000	985.05	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_21||Hub_84||FTL_GB-IT_2000	2046.58	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_21||Hub_85||FTL_GB-DE_W_1500	1549.98	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_22||Hub_81||FTL_GB-GB_250	246.57	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_22||Hub_82||FTL_GB-ES_2000	1929.82	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_22||Hub_83||FTL_GB-DE_W_1000	924.99	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_22||Hub_84||FTL_GB-IT_2000	1938.57	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_22||Hub_85||FTL_GB-DE_W_1500	1484.52	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_23||Hub_81||FTL_ES-GB_1500	1737.88	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_23||Hub_82||FTL_ES-ES_500	461.41	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_23||Hub_83||FTL_ES-DE_W_2000	1847.91	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_23||Hub_84||FTL_ES-IT_1500	1550.58	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_23||Hub_85||FTL_ES-DE_W_2000	1934.07	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_24||Hub_81||FTL_GB-GB_100	183.09	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_24||Hub_82||FTL_GB-ES_2000	1842.97	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_24||Hub_83||FTL_GB-DE_W_1000	890.41	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_24||Hub_84||FTL_GB-IT_2000	1871.94	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_24||Hub_85||FTL_GB-DE_W_1500	1443.05	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_25||Hub_81||FTL_ES-GB_1500	1712.87	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_25||Hub_82||FTL_ES-ES_500	450	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_25||Hub_83||FTL_ES-DE_W_2000	1819.35	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_25||Hub_84||FTL_ES-IT_1500	1529.93	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_25||Hub_85||FTL_ES-DE_W_2000	1907.61	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_26||Hub_81||FTL_FR_N-GB_1000	1006.25	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_26||Hub_82||FTL_FR_N-ES_1000	1024.94	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_26||Hub_83||FTL_FR_N-DE_W_1000	1269.79	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_26||Hub_84||FTL_FR_N-IT_1500	1552.3	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_26||Hub_85||FTL_FR_N-DE_W_1500	1596.53	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_27||Hub_81||FTL_ES-GB_1500	1730.06	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_27||Hub_82||FTL_ES-ES_500	408.1	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_27||Hub_83||FTL_ES-DE_W_1500	1813.93	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_27||Hub_84||FTL_ES-IT_1500	1498.55	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_27||Hub_85||FTL_ES-DE_W_2000	1888.23	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_28||Hub_81||FTL_FR_N-GB_1000	712.73	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_28||Hub_82||FTL_FR_N-ES_1000	1297.8	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_28||Hub_83||FTL_FR_N-DE_W_1000	1045.79	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_28||Hub_84||FTL_FR_N-IT_1500	1590.78	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_28||Hub_85||FTL_FR_N-DE_W_1500	1480.67	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_29||Hub_81||FTL_GB-GB_250	296.83	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_29||Hub_82||FTL_GB-ES_1500	1601.22	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_29||Hub_83||FTL_GB-DE_W_1000	801.8	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_29||Hub_84||FTL_GB-IT_1500	1672.27	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_29||Hub_85||FTL_GB-DE_W_1500	1317.83	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_30||Hub_81||FTL_GB-GB_250	315.74	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_30||Hub_82||FTL_GB-ES_1500	1593.86	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_30||Hub_83||FTL_GB-DE_W_1000	778.13	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_30||Hub_84||FTL_GB-IT_1500	1650.43	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_30||Hub_85||FTL_GB-DE_W_1500	1293.94	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_31||Hub_81||FTL_FR_N-GB_1000	969.3	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_31||Hub_82||FTL_FR_N-ES_1000	1044.43	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_31||Hub_83||FTL_FR_N-DE_W_1000	1057.94	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_31||Hub_84||FTL_FR_N-IT_1500	1363.35	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_31||Hub_85||FTL_FR_N-DE_W_1500	1366.94	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_32||Hub_81||FTL_FR_N-GB_1000	771.5	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_32||Hub_82||FTL_FR_N-ES_1000	1266.76	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_32||Hub_83||FTL_FR_N-DE_W_1000	881.65	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_32||Hub_84||FTL_FR_N-IT_1500	1417.64	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_32||Hub_85||FTL_FR_N-DE_W_1000	1288.67	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_33||Hub_81||FTL_FR_N-GB_1000	698.76	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_33||Hub_82||FTL_FR_N-ES_1500	1381.61	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_33||Hub_83||FTL_FR_N-DE_W_1000	768.76	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_33||Hub_84||FTL_FR_N-IT_1500	1427.54	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_33||Hub_85||FTL_FR_N-DE_W_1000	1225.1	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_34||Hub_81||FTL_ES-GB_1500	1752.31	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_34||Hub_82||FTL_ES-ES_100	120.3	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_34||Hub_83||FTL_ES-DE_W_1500	1673.62	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_34||Hub_84||FTL_ES-IT_1500	1215.21	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_34||Hub_85||FTL_ES-DE_W_1500	1660.67	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_35||Hub_81||FTL_FR_N-GB_1000	811.89	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_35||Hub_82||FTL_FR_N-ES_1000	1264.06	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_35||Hub_83||FTL_FR_N-DE_W_1000	810.46	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_35||Hub_84||FTL_FR_N-IT_1500	1341.09	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_35||Hub_85||FTL_FR_N-DE_W_1000	1200.93	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_36||Hub_81||FTL_ES-GB_2000	1799.93	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_36||Hub_82||FTL_ES-ES_100	85.18	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_36||Hub_83||FTL_ES-DE_W_1500	1708.47	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_36||Hub_84||FTL_ES-IT_1500	1215.28	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_36||Hub_85||FTL_ES-DE_W_1500	1679.89	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_37||Hub_81||FTL_FR_N-GB_1000	758.28	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_37||Hub_82||FTL_FR_N-ES_1500	1337.55	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_37||Hub_83||FTL_FR_N-DE_W_1000	755.6	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_37||Hub_84||FTL_FR_N-IT_1500	1367.98	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_37||Hub_85||FTL_FR_N-DE_W_1000	1182.88	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_38||Hub_81||FTL_FR_N-GB_1000	757.04	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_38||Hub_82||FTL_FR_N-ES_1500	1339.46	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_38||Hub_83||FTL_FR_N-DE_W_1000	754.09	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_38||Hub_84||FTL_FR_N-IT_1500	1368.58	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_38||Hub_85||FTL_FR_N-DE_W_1000	1182.3	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_39||Hub_81||FTL_ES-GB_2000	1794	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_39||Hub_82||FTL_ES-ES_100	99.4	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_39||Hub_83||FTL_ES-DE_W_1500	1690.69	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_39||Hub_84||FTL_ES-IT_1000	1190.46	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_39||Hub_85||FTL_ES-DE_W_1500	1656.78	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_40||Hub_81||FTL_ES-GB_1500	1785.98	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_40||Hub_82||FTL_ES-ES_100	110.36	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_40||Hub_83||FTL_ES-DE_W_1500	1678.57	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_40||Hub_84||FTL_ES-IT_1000	1178.98	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_40||Hub_85||FTL_ES-DE_W_1500	1643.93	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_41||Hub_81||FTL_FR_N-GB_1000	817.68	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_41||Hub_82||FTL_FR_N-ES_1000	1284.2	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_41||Hub_83||FTL_FR_N-DE_W_1000	766.03	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_41||Hub_84||FTL_FR_N-IT_1000	1315.77	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_41||Hub_85||FTL_FR_N-DE_W_1000	1158.19	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_42||Hub_81||FTL_FR_N-GB_1000	844.35	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_42||Hub_82||FTL_FR_N-ES_1000	1299.1	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_42||Hub_83||FTL_FR_N-DE_W_500	762.26	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_42||Hub_84||FTL_FR_N-IT_1000	1270.84	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_42||Hub_85||FTL_FR_N-DE_W_1000	1096.64	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_43||Hub_81||FTL_BX-GB_500	623.83	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_43||Hub_82||FTL_BX-ES_1500	1474.6	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_43||Hub_83||FTL_BX-DE_W_500	510.61	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_43||Hub_84||FTL_BX-IT_1500	1419.29	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_43||Hub_85||FTL_BX-DE_W_1000	969.1	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_44||Hub_81||FTL_FR_N-GB_1000	1117.74	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_44||Hub_82||FTL_FR_N-ES_1000	1074.79	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_44||Hub_83||FTL_FR_N-DE_W_1000	834.95	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_44||Hub_84||FTL_FR_N-IT_1000	1034.31	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_44||Hub_85||FTL_FR_N-DE_W_1000	1021	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_45||Hub_81||FTL_FR_N-GB_1000	1192.14	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_45||Hub_82||FTL_FR_N-ES_1000	1034.89	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_45||Hub_83||FTL_FR_N-DE_W_1000	865.75	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_45||Hub_84||FTL_FR_N-IT_1000	964.4	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_45||Hub_85||FTL_FR_N-DE_W_1000	994.92	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_46||Hub_81||FTL_BX-GB_1000	715.51	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_46||Hub_82||FTL_BX-ES_1500	1591.64	24000	102	13.6	$inf	$inf	$inf	$inf
